ImageX	ImageY	BModeResponse	DopplerResponse	DopplerCentroidDistance	frame
224.485336	52.000000	-107374176.000000	-107374176.000000	-107374176.000000	166;
227.607071	52.000000	-107374176.000000	-107374176.000000	-107374176.000000	167;
225.767151	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	168;
234.776276	92.000000	-107374176.000000	-107374176.000000	-107374176.000000	169;
219.927917	90.000000	-107374176.000000	-107374176.000000	-107374176.000000	170;
247.426559	106.000000	-107374176.000000	-107374176.000000	-107374176.000000	171;
217.310318	108.000000	-107374176.000000	-107374176.000000	-107374176.000000	172;
229.339737	108.000000	-107374176.000000	-107374176.000000	-107374176.000000	173;
208.000000	107.000000	-107374176.000000	-107374176.000000	-107374176.000000	174;
211.236206	88.000000	-107374176.000000	-107374176.000000	-107374176.000000	175;
200.468079	150.000000	-107374176.000000	-107374176.000000	-107374176.000000	176;
375.517151	251.000000	-107374176.000000	-107374176.000000	-107374176.000000	185;
225.317932	87.000000	-107374176.000000	-107374176.000000	-107374176.000000	186;
218.811813	89.000000	-107374176.000000	-107374176.000000	-107374176.000000	187;
219.609848	87.000000	-107374176.000000	-107374176.000000	-107374176.000000	188;
230.804550	96.000000	-107374176.000000	-107374176.000000	-107374176.000000	189;
221.641541	97.000000	-107374176.000000	-107374176.000000	-107374176.000000	190;
224.428665	83.000000	-107374176.000000	-107374176.000000	-107374176.000000	191;
225.301010	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	192;
225.959488	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	193;
223.483353	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	194;
224.691788	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	195;
230.001740	57.000000	-107374176.000000	-107374176.000000	-107374176.000000	196;
227.945480	56.000000	-107374176.000000	-107374176.000000	-107374176.000000	197;
229.188492	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	198;
225.401093	58.000000	-107374176.000000	-107374176.000000	-107374176.000000	199;
225.741425	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	200;
227.071198	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	201;
227.209641	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	202;
223.209488	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	203;
219.971893	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	204;
221.762634	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	205;
219.439316	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	206;
219.017410	78.000000	-107374176.000000	-107374176.000000	-107374176.000000	207;
219.172577	88.000000	-107374176.000000	-107374176.000000	-107374176.000000	208;
223.279694	83.000000	-107374176.000000	-107374176.000000	-107374176.000000	209;
220.007309	78.000000	-107374176.000000	-107374176.000000	-107374176.000000	210;
218.714706	75.000000	-107374176.000000	-107374176.000000	-107374176.000000	211;
221.876373	85.000000	-107374176.000000	-107374176.000000	-107374176.000000	212;
226.659958	76.000000	-107374176.000000	-107374176.000000	-107374176.000000	213;
231.065720	71.000000	-107374176.000000	-107374176.000000	-107374176.000000	214;
235.806839	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	215;
243.689713	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	216;
249.859650	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	217;
384.650726	47.000000	-107374176.000000	-107374176.000000	-107374176.000000	218;
348.414703	51.000000	-107374176.000000	-107374176.000000	-107374176.000000	219;
283.551758	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	220;
251.232498	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	221;
254.484070	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	222;
256.263000	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	223;
257.000183	64.000000	-107374176.000000	-107374176.000000	-107374176.000000	224;
254.565979	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	225;
257.110107	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	226;
254.194885	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	227;
254.483078	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	228;
254.812103	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	229;
262.286499	60.000000	-107374176.000000	-107374176.000000	-107374176.000000	230;
274.100800	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	231;
274.731720	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	232;
270.503815	61.000000	-107374176.000000	-107374176.000000	-107374176.000000	233;
273.148315	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	234;
276.722565	63.000000	-107374176.000000	-107374176.000000	-107374176.000000	235;
271.710724	62.000000	-107374176.000000	-107374176.000000	-107374176.000000	236;
271.930237	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	237;
270.995911	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	238;
272.780334	74.000000	-107374176.000000	-107374176.000000	-107374176.000000	239;
272.060364	73.000000	-107374176.000000	-107374176.000000	-107374176.000000	240;
273.063141	72.000000	-107374176.000000	-107374176.000000	-107374176.000000	241;
277.268280	71.000000	-107374176.000000	-107374176.000000	-107374176.000000	242;
274.015045	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	243;
274.836029	65.000000	-107374176.000000	-107374176.000000	-107374176.000000	244;
275.587341	66.000000	-107374176.000000	-107374176.000000	-107374176.000000	245;
278.620819	67.000000	-107374176.000000	-107374176.000000	-107374176.000000	246;
280.924927	68.000000	-107374176.000000	-107374176.000000	-107374176.000000	247;
281.795135	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	248;
279.198486	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	249;
280.333344	69.000000	-107374176.000000	-107374176.000000	-107374176.000000	250;
278.931274	70.000000	-107374176.000000	-107374176.000000	-107374176.000000	251;
