Setting solenoid 2 amount 1
Setting solenoid 1 amount 1
19916209 0 1 513.91 141.81 -0.054688
19919476 0 1 513.97 141.95 -0.015625
19922738 0 1 513.92 141.84 -0.046875
19926002 0 1 513.97 141.95 -0.015625
19927970 0 1 513.97 141.95 -0.015625
19931088 0 1 513.99 141.97 -0.007813
19934351 0 1 513.96 141.92 -0.023438
19937664 0 1 513.97 141.95 -0.015625
19939633 0 1 513.97 141.95 -0.015625
19942702 0 1 513.96 141.92 -0.023438
19945957 0 1 514.00 142.00 0.000000
19949229 0 1 513.99 141.97 -0.007813
19951201 0 1 513.99 141.97 -0.007813
19954299 0 1 514.00 142.00 0.000000
19956163 0 1 514.00 142.00 0.000000
19957873 0 1 514.00 142.00 0.000000
19960978 0 1 513.99 141.97 -0.007813
19964271 0 1 514.01 142.03 0.007813
19967537 0 1 514.01 142.03 0.007813
19969437 0 1 514.00 142.00 0.000000
19972539 0 1 514.00 142.00 0.000000
19975785 0 1 514.07 142.13 0.039063
19979147 0 1 514.13 142.26 0.078125
19981092 0 1 514.20 141.40 0.117188
19984200 0 1 514.26 141.50 0.148438
19987450 0 1 514.32 141.64 0.187500
19990718 0 1 514.32 141.64 0.187500
19992713 0 1 514.30 141.58 0.171875
19995935 0 1 514.39 141.77 0.226563
19999068 0 1 514.29 142.58 0.171875
20001044 0 1 514.34 141.66 0.195313
20004147 0 1 514.31 142.61 0.179688
20007384 0 1 514.23 142.45 0.132813
20010632 0 1 514.27 142.53 0.156250
20012585 0 1 514.27 142.53 0.156250
20015761 0 1 514.31 142.61 0.179688
20018996 0 1 514.35 142.69 0.203125
20022246 0 1 514.48 141.95 0.281250
20024177 0 1 515.66 141.31 0.382813
20027372 0 1 515.77 141.52 0.445313
20030610 0 1 518.24 140.43 0.703125
20033862 0 1 519.36 140.68 0.773438
20035800 0 1 519.28 140.52 0.726563
20038982 0 1 519.32 140.60 0.750000
20042223 0 1 520.29 140.56 0.734375
20045470 0 1 520.25 140.48 0.710938
20047405 0 1 520.26 140.50 0.718750
20050601 0 1 521.20 140.38 0.679688
20053794 0 1 522.16 140.31 0.656250
20057095 0 1 522.99 139.99 0.562500
20059052 0 1 522.94 139.88 0.531250
20062216 0 1 522.78 140.57 0.445313
20065409 0 1 522.73 139.46 0.414063
20067351 0 1 522.75 139.49 0.421875
20070459 0 1 521.89 138.76 0.500000
20073739 0 1 520.04 138.01 0.578125
20076978 0 1 519.23 137.36 0.679688
20078963 0 1 518.36 136.56 0.742188
20082070 0 1 517.71 137.22 0.937500
20085363 0 1 516.86 137.50 1.023438
20087260 0 1 517.06 136.85 1.125000
20090454 0 1 516.54 136.69 1.375000
20093649 0 1 517.13 136.76 1.687500
20095378 0 1 5136.69 1.375000
093649 0 1 517.13 136.76 1.687500
095378 0 1 516.17 136.81 1.710938
20098598 0 1 516.20 136.86 1.726563
20101833 0 1 516.21 136.89 1.734375
20103812 0 1 516.48 136.35 1.867188
20106940 0 1 515.43 136.21 1.835938
20110166 0 1 515.90 136.04 2.078125
20112129 0 1 516.07 136.36 2.171875
20115291 0 1 516.25 135.62 2.250000
20118521 0 1 516.15 136.52 2.218750
20121789 0 1 515.01 136.21 2.140625
20123751 0 1 516.00 136.22 2.132813
20126824 0 1 515.22 136.61 2.257813
20130083 0 1 516.56 136.21 2.421875
20133354 0 1 517.00 135.97 2.640625
20135320 0 1 517.02 135.99 2.648438
20138432 0 1 516.66 134.97 2.945313
20141696 0 1 517.27 135.01 3.250000
20144970 0 1 516.49 134.25 3.335938
20146931 0 1 516.56 134.39 3.375000
20150065 0 1 516.90 135.03 3.562500
20153313 0 1 515.98 134.00 3.570313
20156581 0 1 517.51 133.92 3.820313
20158545 0 1 518.58 134.13 3.859375
20161677 0 1 520.16 133.04 4.101563
20164926 0 1 521.83 133.24 4.421875
20168199 0 1 523.39 133.70 4.226563
20170164 0 1 525.48 134.04 4.281250
20173293 0 1 526.90 134.94 4.507813
20176551 0 1 529.60 133.22 5.679688
20179878 0 1 528.55 132.46 6.953125
20181805 0 1 528.41 130.79 7.656250
20184994 0 1 524.62 130.24 8.562500
20188207 0 1 523.99 131.17 9.187500
20191479 0 1 523.84 130.36 9.882813
20193414 0 1 525.78 131.00 10.289063
20196557 0 1 527.87 130.63 10.679688
20199819 0 1 528.71 130.90 11.023438
20203046 0 1 526.45 129.95 10.867188
20205026 0 1 526.07 130.57 10.765625
20208088 0 1 524.05 128.76 10.640625
20210040 0 1 522.86 128.75 11.351563
20213104 0 1 519.92 126.39 13.453125
20216416 0 1 522.18 122.07 14.226563
20219657 0 1 524.99 114.00 15.781250
20221636 0 1 524.94 112.39 15.945313
20224752 0 1 526.09 110.01 16.085938
20226470 0 1 525.43 108.45 16.687500
20229681 0 1 524.54 108.22 18.546875
20232915 0 1 526.72 107.01 20.515625
20234877 0 1 527.30 105.64 21.109375
20236628 0 1 528.36 105.37 21.648438
20239789 0 1 529.90 105.35 22.609375
20241585 0 1 531.07 105.66 22.945313
20244687 0 1 529.10 104.68 23.718750
20247904 0 1 529.55 103.74 24.546875
20251122 0 1 533.07 105.11 25.296875
20253082 0 1 533.61 104.77 25.921875
20256209 0 1 536.42 104.40 27.851563
20259470 0 1 539.51 100.06 32.000000
20261141 0 1 539.51 100.06 35.117188
20261445 0 1 539.51 100.06 35.117188
20262853 0 1 539.51 100.06 37.218750
20264449 0 1 539.51 100.06 38.898438
20266052 0 1 539.51 100.06 39.734375
20266318 0 1 539.51 100.06 39.734375
20267849 0 1 539.51 100.06 41.117188
20269430 0 1 539.51 100.06 41.710938
20271012 0 1 539.51 100.06 41.976563
20272626 0 1 539.51 100.06 41.828125
20272928 0 1 539.51 100.06 41.828125
20274362 0 1 539.51 100.06 41.851563
20275958 0 1 539.51 100.06 41.773438
20276264 0 1 539.51 100.06 41.773438
20277667 0 1 539.51 100.06 41.531250
20279328 0 1 539.51 100.06 41.492188
20280912 0 1 539.51 100.06 41.320313
20282501 0 1 539.51 100.06 41.234375
20282802 0 1 539.51 100.06 41.234375
20284236 0 1 539.51 100.06 41.226563
20284538 0 1 539.51 100.06 41.226563
20285968 0 1 539.51 100.06 41.226563
20287533 0 1 539.51 100.06 41.335938
20289132 0 1 539.51 100.06 41.570313
20289432 0 1 539.51 100.06 41.570313
20290846 0 1 539.51 100.06 41.640625
20292440 0 1 539.51 100.06 41.843750
20292745 0 1 539.51 100.06 41.843750
20294155 0 1 539.51 100.06 41.828125
20295762 0 1 539.51 100.06 41.890625
20296070 0 1 539.51 100.06 41.890625
20297524 0 1 539.51 100.06 42.093750
20299118 0 1 539.51 100.06 42.234375
20300710 0 1 539.51 100.06 42.375000
20302312 0 1 539.51 100.06 42.375000
20302577 0 1 539.51 100.06 42.375000
20304095 0 1 539.51 100.06 42.273438
20305677 0 1 539.51 100.06 42.023438
20307282 0 1 539.51 100.06 42.101563
20307548 0 1 539.51 100.06 42.101563
20309075 0 1 539.51 100.06 42.101563
20310645 0 1 539.51 100.06 42.171875
20312244 0 1 539.51 100.06 42.078125
20312545 0 1 539.51 100.06 42.078125
20313960 0 1 539.51 100.06 41.773438
20315553 0 1 539.51 100.06 41.375000
20315819 0 1 539.51 100.06 41.375000
20317408 0 1 539.51 100.06 40.593750
20318915 0 1 539.51 100.06 39.976563
20319219 0 1 539.51 100.06 39.976563
20320647 0 1 539.51 100.06 39.406250
20322211 0 1 539.51 100.06 39.351563
20323810 0 1 539.51 100.06 39.929688
20324076 0 1 539.51 100.06 39.929688
20325586 0 1 539.51 100.06 40.546875
